Rank,Country,Price To Income Ratio,Gross Rental Yield City Centre,Gross Rental Yield Outside of Centre,Price To Rent Ratio City Centre,Price To Rent Ratio Outside Of City Centre,Mortgage As A Percentage Of Income,Affordability Index
1,Albania,15.8,4.12,5.08,24.29,19.68,123.84,0.81
2,Algeria,15.27,3.35,3.71,29.89,26.96,137.09,0.73
3,Argentina,22.81,2.35,2.19,42.6,45.7,1033.41,0.1
4,Armenia,16.68,6.56,8.77,15.24,11.41,221.14,0.45
5,Australia,5.6,5.1,5.37,19.59,18.62,37.63,2.66
6,Austria,10.88,3.11,3.44,32.12,29.06,65.81,1.52
7,Azerbaijan,14.14,4.14,5.13,24.14,19.49,160.26,0.62
8,Bahrain,5.74,10.15,9.72,9.86,10.29,50.66,1.97
9,Bangladesh,11.87,3.3,3.55,30.27,28.19,128.79,0.78
10,Belarus,17.45,4.19,4.47,23.84,22.37,337.13,0.3
11,Belgium,6.6,4.73,4.74,21.14,21.08,39.09,2.56
12,Bolivia,9.92,5.68,6.05,17.61,16.52,100.06,1
13,Bosnia And Herzegovina,10.35,3.03,2.97,33.02,33.67,72.35,1.38
14,Brazil,18.48,3.75,3.95,26.66,25.34,206.2,0.48
15,Bulgaria,9.59,4.39,4.92,22.76,20.34,65.53,1.53
16,Cambodia,31.2,4.86,5.71,20.59,17.51,367.47,0.27
17,Canada,8.91,3.61,4.24,27.74,23.57,71.34,1.4
18,Chile,15.12,4.38,4.45,22.85,22.45,123.83,0.81
19,China,38.43,1.63,1.62,61.31,61.76,309.62,0.32
20,Colombia,16.9,4.95,5.08,20.19,19.67,212.21,0.47
21,Costa Rica,10,6.37,5.84,15.71,17.12,111.07,0.9
22,Croatia,13.16,3.08,3.14,32.42,31.82,91.98,1.09
23,Cyprus,6.76,8.01,8.95,12.49,11.18,43.37,2.31
24,Czech Republic,14.93,2.9,2.93,34.43,34.16,108.75,0.92
25,Denmark,6.3,4.56,4.75,21.92,21.04,36.89,2.71
26,Dominican Republic,15.12,6.73,5.42,14.87,18.46,200.56,0.5
27,Ecuador,11.8,5.71,5.23,17.51,19.12,134.09,0.75
28,Egypt,11.07,6.8,7.02,14.7,14.24,147.49,0.68
29,El Salvador,15.63,7.48,7.36,13.37,13.59,176.58,0.57
30,Estonia,10.06,3.77,3.94,26.55,25.39,62.68,1.6
31,Ethiopia,25.54,11.3,6.48,8.85,15.43,425.78,0.23
32,Finland,7.54,3.55,4.64,28.19,21.56,43.24,2.31
33,France,11.85,2.83,3.01,35.33,33.17,68.49,1.46
34,Georgia,12.26,9.31,11.64,10.74,8.59,165.86,0.6
35,Germany,10.6,2.79,2.87,35.79,34.84,63.73,1.57
36,Ghana,78.52,15.86,0.37,6.3,272.07,2002.57,0.05
37,Greece,12.08,4.21,4.38,23.74,22.81,90.05,1.11
38,Guatemala,11.42,8.46,9.05,11.82,11.05,116.53,0.86
39,Honduras,8.88,7.81,5.61,12.81,17.83,113.02,0.88
40,Hong Kong,42.59,1.61,1.76,61.94,56.68,266.62,0.38
41,Hungary,13.22,3.46,3.62,28.93,27.65,113.51,0.88
42,Iceland,6.8,5.32,5.77,18.8,17.33,54.84,1.82
43,India,7.44,3.15,4.2,31.71,23.82,76.59,1.31
44,Indonesia,17.81,4.13,4.6,24.23,21.75,201.7,0.5
45,Iran,28.62,5.66,6.12,17.68,16.33,586.53,0.17
46,Iraq,8.53,5.88,6.96,17.02,14.37,93.96,1.06
47,Ireland,6.97,7.52,8.58,13.31,11.65,47.93,2.09
48,Israel,13.26,3.24,3.19,30.87,31.33,92.14,1.09
49,Italy,11.1,3.75,4.84,26.69,20.66,65.34,1.53
50,Jamaica,38.68,2.74,1.7,36.48,58.95,388.12,0.26
51,Japan,10.49,2.53,2.81,39.6,35.58,60.22,1.66
52,Jordan,8.18,5.65,6.48,17.71,15.42,80.85,1.24
53,Kazakhstan,9.58,7.43,6.87,13.46,14.57,141.56,0.71
54,Kenya,26.86,1.54,4.27,64.92,23.43,376.05,0.27
55,Kosovo (Disputed Territory),11.78,4.44,5.38,22.5,18.59,93.08,1.07
56,Kuwait,11.19,3.58,5.1,27.91,19.59,90.53,1.1
57,Kyrgyzstan,14.6,7.15,5.89,13.98,16.98,228.28,0.44
58,Latvia,7.66,4.46,5.42,22.44,18.45,49.13,2.04
59,Lebanon,12.67,5.49,5.96,18.21,16.78,128.23,0.78
60,Lithuania,12.19,3.88,4.04,25.8,24.74,76.57,1.31
61,Luxembourg,13.95,2.99,3.26,33.43,30.69,84.26,1.19
62,Malaysia,8.67,4.06,4.78,24.65,20.92,63.28,1.58
63,Malta,12.93,5.1,5.65,19.62,17.71,95.17,1.05
64,Mauritius,10.71,6.63,5.41,15.08,18.47,95.17,1.05
65,Mexico,8.25,7.92,7.06,12.62,14.17,102.2,0.98
66,Moldova,10.86,5.55,5.88,18.01,17,113.58,0.88
67,Mongolia,15.18,5.96,5.25,16.77,19.06,161.32,0.62
68,Montenegro,13.31,4.81,4.79,20.77,20.89,108.69,0.92
69,Morocco,13.16,4.48,4.93,22.33,20.29,104.73,0.95
70,Myanmar,6.06,16.07,42.24,6.22,2.37,82.23,1.22
71,Nepal,30.38,1.73,2.73,57.93,36.64,400.41,0.25
72,Netherlands,7.36,4.5,5.03,22.21,19.88,44.64,2.24
73,New Zealand,8.01,4.34,4.82,23.07,20.76,58.69,1.7
74,Nigeria,22.35,27.28,26.7,3.67,3.75,401.18,0.25
75,North Macedonia,12.75,3.46,3.32,28.93,30.08,100.31,1
76,Norway,7.83,3.86,4.15,25.91,24.08,50.82,1.97
77,Oman,4.59,6.87,6.87,14.56,14.55,35.88,2.79
78,Pakistan,13.35,4.43,5.28,22.59,18.92,183.44,0.55
79,Palestine,5.31,7.32,8.38,13.66,11.94,49.62,2.02
80,Panama,11.28,8,7.8,12.49,12.83,95.96,1.04
81,Paraguay,16.86,5.49,5.5,18.22,18.17,224.59,0.45
82,Peru,18.59,4.72,4.68,21.2,21.36,204.72,0.49
83,Philippines,29.65,3.89,3.76,25.68,26.59,288.15,0.35
84,Poland,13.49,3.4,4.08,29.4,24.49,111.79,0.89
85,Portugal,12.97,5.19,5.85,19.25,17.09,79.61,1.26
86,Puerto Rico,4.2,10.15,8.07,9.85,12.39,32.61,3.07
87,Qatar,6.95,7.3,6.2,13.7,16.14,49.94,2
88,Romania,11.1,4.2,4.15,23.81,24.11,94.24,1.06
89,Russia,16.89,3.33,3.94,30.02,25.41,205.81,0.49
90,Saudi Arabia,2.87,6.87,7.07,14.56,14.15,21.25,4.71
91,Serbia,14.8,2.99,3.14,33.47,31.82,106.08,0.94
92,Singapore,16.78,2.57,3.66,38.87,27.35,103.02,0.97
93,Slovakia,12,3.96,4.18,25.27,23.92,69.4,1.44
94,Slovenia,11.7,3.51,3.81,28.47,26.26,74.48,1.34
95,South Africa,3.25,10.45,12.04,9.57,8.3,33.58,2.98
96,South Korea,26.51,0.81,1,123.73,99.62,184.39,0.54
97,Spain,7.49,5.04,6.48,19.85,15.44,46.72,2.14
98,Sri Lanka,44.39,3.22,2.27,31.06,44.08,657.34,0.15
99,Sweden,9.52,2.91,3.52,34.33,28.37,58.59,1.71
100,Switzerland,8.86,2.93,3.33,34.12,30.06,51.12,1.96
101,Syria,88.31,2.62,3.36,38.1,29.77,1097.89,0.09
102,Taiwan,19.73,1.66,1.77,60.11,56.36,117.24,0.85
103,Thailand,21.55,3.49,3.41,28.61,29.29,174.39,0.57
104,Tunisia,11.15,5.09,5.14,19.63,19.44,128.68,0.78
105,Turkey,11.91,5.59,5.69,17.9,17.58,244.63,0.41
106,Ukraine,11.31,6.42,6.7,15.58,14.92,176.66,0.57
107,United Arab Emirates,2.91,12.61,11.22,7.93,8.91,20.51,4.88
108,United Kingdom,7.99,4.72,4.59,21.21,21.8,53.51,1.87
109,United States,4.58,7.79,11.86,12.84,8.44,37.41,2.67
110,Uruguay,18.08,3.62,4.42,27.64,22.64,200.95,0.5
111,Uzbekistan,14.58,7.16,9.33,13.97,10.72,296.73,0.34
112,Venezuela,18.27,7.25,6.96,13.8,14.37,426.53,0.23
113,Vietnam,24.05,3.33,4.06,30.07,24.63,274.4,0.36
