Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Aruba,ABW,"Survival to age 65, male (% of cohort)",SP.DYN.TO65.MA.ZS,63.0209986,63.6262508,64.231503,64.7899886,65.3484742,65.9069598,66.4654454,67.023931,67.41656,67.809189,68.201818,68.594447,68.987076,69.4674404,69.9478048,70.4281692,70.9085336,71.388898,72.028417,72.667936,73.307455,73.946974,74.586493,74.7003634,74.8142338,74.9281042,75.0419746,75.155845,75.2697922,75.3837394,75.4976866,75.6116338,75.725581,75.7635248,75.8014686,75.8394124,75.8773562,75.9153,76.0348414,76.1543828,76.2739242,76.3934656,76.513007,76.7651974,77.0173878,77.2695782,77.5217686,77.773959,78.029166,78.284373,78.53958,78.794787,79.049994,79.306169,79.562344,79.818519,80.074694,80.330869,80.5838294,80.8367898,81.0897502,
Africa Eastern and Southern,AFE,"Survival to age 65, male (% of cohort)",SP.DYN.TO65.MA.ZS,31.31496151,31.88331666,32.44761714,32.94222954,33.43921901,33.94054333,34.45014941,34.96244102,35.47641185,35.99050944,36.50321143,37.01609287,37.52731589,37.95433516,38.37838761,38.79996044,39.21958864,39.63764531,39.91900923,40.20755246,40.50321389,40.81446286,41.12706692,41.28225175,41.43176173,41.57495581,41.71913213,41.85618127,41.37173235,40.87934244,40.38870819,39.93366138,39.50272598,39.10305742,38.67583017,38.22330336,37.76092439,37.29280935,37.46301983,37.63562453,37.81211893,38.00055847,38.19757245,39.44587908,40.6988708,41.95589912,43.21351083,44.47692626,45.9881674,47.49463456,48.9969728,50.50069095,51.99972712,53.01805776,54.03312116,55.04500967,56.05437017,57.06184618,57.5666682,58.06971162,58.57071533,
Afghanistan,AFG,"Survival to age 65, male (% of cohort)",SP.DYN.TO65.MA.ZS,17.7982876,18.3552588,18.91223,19.4619488,20.0116676,20.5613864,21.1111052,21.660824,22.2821072,22.9033904,23.5246736,24.1459568,24.76724,25.4937192,26.2201984,26.9466776,27.6731568,28.399636,29.2773878,30.1551396,31.0328914,31.9106432,32.788395,33.7418074,34.6952198,35.6486322,36.6020446,37.555457,38.4965534,39.4376498,40.3787462,41.3198426,42.260939,43.0347204,43.8085018,44.5822832,45.3560646,46.129846,46.8231038,47.5163616,48.2096194,48.9028772,49.596135,50.3981522,51.2001694,52.0021866,52.8042038,53.606221,54.4434294,55.2806378,56.1178462,56.9550546,57.792263,58.423871,59.055479,59.687087,60.318695,60.950303,61.4942584,62.0382138,62.5821692,
Africa Western and Central,AFW,"Survival to age 65, male (% of cohort)",SP.DYN.TO65.MA.ZS,24.89788813,25.42952994,25.96454383,26.46699634,26.96531922,27.45782469,27.94696449,28.43075315,28.99919258,29.56804182,30.13883234,30.7192288,31.30063101,32.0006022,32.69952871,33.3964388,34.08902094,34.77935802,35.40961708,36.03953139,36.6706284,37.31381449,37.95795482,38.29854733,38.63884605,38.97708348,39.31188686,39.64413299,39.74085863,39.837653,39.93575325,40.03790172,40.14216548,40.01245637,39.87924005,39.74281221,39.60658337,39.46883394,39.59661514,39.72300373,39.84940866,39.98124861,40.1151391,40.94912788,41.78391134,42.61966859,43.4613287,44.3031995,44.99435922,45.68459937,46.3737092,47.06195387,47.74957595,48.39632313,49.04088718,49.68333502,50.32765382,50.97009973,51.43946958,51.90825036,52.37686156,
Angola,AGO,"Survival to age 65, male (% of cohort)",SP.DYN.TO65.MA.ZS,25.5113034,25.8059592,26.100615,26.4758956,26.8511762,27.2264568,27.6017374,27.977018,28.3945674,28.8121168,29.2296662,29.6472156,30.064765,30.4439052,30.8230454,31.2021856,31.5813258,31.960466,32.2008252,32.4411844,32.6815436,32.9219028,33.162262,33.3073712,33.4524804,33.5975896,33.7426988,33.887808,33.7527074,33.6176068,33.4825062,33.3474056,33.212305,33.1976542,33.1830034,33.1683526,33.1537018,33.139051,33.6051564,34.0712618,34.5373672,35.0034726,35.469578,36.525852,37.582126,38.6384,39.694674,40.750948,42.0637626,43.3765772,44.6893918,46.0022064,47.315021,47.9789558,48.6428906,49.3068254,49.9707602,50.634695,51.1369686,51.6392422,52.1415158,
Albania,ALB,"Survival to age 65, male (% of cohort)",SP.DYN.TO65.MA.ZS,64.9469904,66.5281572,68.109324,68.371637,68.63395,68.896263,69.158576,69.420889,69.5129604,69.6050318,69.6971032,69.7891746,69.881246,70.5777568,71.2742676,71.9707784,72.6672892,73.3638,73.4308722,73.4979444,73.5650166,73.6320888,73.699161,73.9777834,74.2564058,74.5350282,74.8136506,75.092273,74.8502614,74.6082498,74.3662382,74.1242266,73.882215,74.2279054,74.5735958,74.9192862,75.2649766,75.610667,76.508705,77.406743,78.304781,79.202819,80.100857,80.29339,80.485923,80.678456,80.870989,81.063522,81.4146096,81.7656972,82.1167848,82.4678724,82.81896,83.1957256,83.5724912,83.9492568,84.3260224,84.702788,84.8943206,85.0858532,85.2773858,
Andorra,AND,"Survival to age 65, male (% of cohort)",SP.DYN.TO65.MA.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arab World,ARB,"Survival to age 65, male (% of cohort)",SP.DYN.TO65.MA.ZS,39.16478085,39.90041701,40.63599428,41.35398871,42.07569994,42.80266901,43.53359612,44.26748979,44.96688102,45.66828358,46.37113871,47.08807298,47.80916163,48.67919216,49.53419826,50.37046171,51.17395508,51.9595575,52.54584747,53.14622179,53.76798942,54.43815726,55.13252919,56.20424653,57.27476989,58.33846074,59.39430446,60.44464405,61.03410207,61.61471888,62.23137979,62.80338682,63.18869802,63.77194622,64.34773603,65.05149973,65.61986549,66.18579171,66.64600391,67.1026884,67.55785031,68.03443114,68.50887307,69.0184252,69.53698382,70.06894526,70.64246572,71.22488422,71.59529751,71.94413554,72.26970212,72.57673476,72.88402157,73.21386192,73.52964994,73.83428173,74.13698193,74.42825601,74.73937451,75.03629944,75.32479806,
United Arab Emirates,ARE,"Survival to age 65, male (% of cohort)",SP.DYN.TO65.MA.ZS,43.6515858,45.0676464,46.483707,47.818816,49.153925,50.489034,51.824143,53.159252,54.4496806,55.7401092,57.0305378,58.3209664,59.611395,60.6799908,61.7485866,62.8171824,63.8857782,64.954374,65.806209,66.658044,67.509879,68.361714,69.213549,69.882987,70.552425,71.221863,71.891301,72.560739,73.116527,73.672315,74.228103,74.783891,75.339679,75.8261404,76.3126018,76.7990632,77.2855246,77.771986,78.2056006,78.6392152,79.0728298,79.5064444,79.940059,80.3321732,80.7242874,81.1164016,81.5085158,81.90063,82.2395424,82.5784548,82.9173672,83.2562796,83.595192,83.9059912,84.2167904,84.5275896,84.8383888,85.149188,85.3467558,85.5443236,85.7418914,
Argentina,ARG,"Survival to age 65, male (% of cohort)",SP.DYN.TO65.MA.ZS,58.6408764,58.8237422,59.006608,59.0041702,59.0017324,58.9992946,58.9968568,58.994419,59.4213684,59.8483178,60.2752672,60.7022166,61.129166,61.5589704,61.9887748,62.4185792,62.8483836,63.278188,63.756526,64.234864,64.713202,65.19154,65.669878,65.8919378,66.1139976,66.3360574,66.5581172,66.780177,67.1838464,67.5875158,67.9911852,68.3948546,68.798524,69.1576456,69.5167672,69.8758888,70.2350104,70.594132,70.9309522,71.2677724,71.6045926,71.9414128,72.278233,72.5939744,72.9097158,73.2254572,73.5411986,73.85694,74.1528076,74.4486752,74.7445428,75.0404104,75.336278,75.6134452,75.8906124,76.1677796,76.4449468,76.722114,76.9832518,77.2443896,77.5055274,
